identifier,url,brightness,contrast
pressbook-wb-black-gold,https://archive.org/download/pressbook-wb-black-gold/page/n0_w250.jpg,200.77489707766543,68.85198464726902
pressbook-wb-black-legion,https://archive.org/download/pressbook-wb-black-legion/page/n0_w250.jpg,89.9256093822183,49.22231624503669
pressbook-wb-blazing-sixes,https://archive.org/download/pressbook-wb-blazing-sixes/page/n0_w250.jpg,185.85045514451016,70.21598861608345
pressbook-wb-blessed-event,https://archive.org/download/pressbook-wb-blessed-event/page/n0_w250.jpg,166.33803775871996,64.98187009454831
pressbook-wb-blonde-crazy,https://archive.org/download/pressbook-wb-blonde-crazy/page/n0_w250.jpg,186.28393244100226,45.99034778895469
pressbook-wb-blondes-at-work,https://archive.org/download/pressbook-wb-blondes-at-work/page/n0_w250.jpg,156.91986468005905,52.42732100872439
pressbook-wb-blondie-johnson,https://archive.org/download/pressbook-wb-blondie-johnson/page/n0_w250.jpg,202.40597109740438,50.5880642722855
pressbook-wb-blues-in-the-night,https://archive.org/download/pressbook-wb-blues-in-the-night/page/n0_w250.jpg,192.1491998959865,56.938882043352514
pressbook-wb-bordertown,https://archive.org/download/pressbook-wb-bordertown/page/n0_w250.jpg,89.4128318842918,57.30279506164843
pressbook-wb-born-for-trouble,https://archive.org/download/pressbook-wb-born-for-trouble/page/n0_w250.jpg,209.1618745817082,56.663032727333444
pressbook-wb-boulder-dam,https://archive.org/download/pressbook-wb-boulder-dam/page/n0_w250.jpg,148.5430603622297,67.83482631127127
pressbook-wb-boy-meets-girl,https://archive.org/download/pressbook-wb-boy-meets-girl/page/n0_w250.jpg,141.0176405775809,73.55543545119303
pressbook-wb-brides-are-like-that,https://archive.org/download/pressbook-wb-brides-are-like-that/page/n0_w250.jpg,172.18255386172535,82.26763213792772
pressbook-wb-bright-lights,https://archive.org/download/pressbook-wb-bright-lights/page/n0_w250.jpg,189.26514513449067,50.921405695196846
pressbook-wb-bright-lights-1935,https://archive.org/download/pressbook-wb-bright-lights-1935/page/n0_w250.jpg,167.65815995960287,49.22363634127864
pressbook-wb-british-agent,https://archive.org/download/pressbook-wb-british-agent/page/n0_w250.jpg,113.55859550144719,52.25335147966472
pressbook-wb-british-intelligence,https://archive.org/download/pressbook-wb-british-intelligence/page/n0_w250.jpg,146.54058278885014,71.70892920398506
pressbook-wb-broad-minded,https://archive.org/download/pressbook-wb-broad-minded/page/n0_w250.jpg,163.3563672035024,46.016863922141475
pressbook-wb-broadway-gondolier,https://archive.org/download/pressbook-wb-broadway-gondolier/page/n0_w250.jpg,172.64041755261857,48.119747607670014
pressbook-wb-broadway-hostess,https://archive.org/download/pressbook-wb-broadway-hostess/page/n0_w250.jpg,167.64213375841558,53.95443436624769
pressbook-wb-broadway-musketeers,https://archive.org/download/pressbook-wb-broadway-musketeers/page/n0_w250.jpg,147.70375134641483,58.39774609963501
pressbook-wb-brother-orchid,https://archive.org/download/pressbook-wb-brother-orchid/page/n0_w250.jpg,167.91369844781676,78.13881628265887
pressbook-wb-brother-rat,https://archive.org/download/pressbook-wb-brother-rat/page/n0_w250.jpg,148.24089910135527,79.7294102258656
pressbook-wb-brother-rat-and-a-baby,https://archive.org/download/pressbook-wb-brother-rat-and-a-baby/page/n0_w250.jpg,166.17492613344078,66.66921092052617
pressbook-wb-bullet-scars,https://archive.org/download/pressbook-wb-bullet-scars/page/n0_w250.jpg,167.1473509113267,55.72188501644931
pressbook-wb-bullets-or-ballots,https://archive.org/download/pressbook-wb-bullets-or-ballots/page/n0_w250.jpg,115.85753808468289,81.08959794951578
pressbook-wb-bureau-of-missing-persons,https://archive.org/download/pressbook-wb-bureau-of-missing-persons/page/n0_w250.jpg,146.91435273024186,90.36702355660925
pressbook-wb-busses-roar,https://archive.org/download/pressbook-wb-busses-roar/page/n0_w250.jpg,189.60730097048983,69.5925404684587
pressbook-wb-cabin-in-the-cotton,https://archive.org/download/pressbook-wb-cabin-in-the-cotton/page/n0_w250.jpg,120.76720824812554,71.84994489323292
pressbook-wb-cain-and-mabel,https://archive.org/download/pressbook-wb-cain-and-mabel/page/n0_w250.jpg,143.85002542271496,62.08178530257616
